sip_timestamp,ask_price,ask_size,bid_price,bid_size
1641200400037968461,8.1,1,0,0
1641211229958185398,8,1,4.74,7
1641218955874956566,7.99,1,4.75,1
1641219017976355291,8,1,4.75,1
1641219017976393950,7.98,1,4.75,1
1641219080077706678,8,1,4.75,1
1641219080077746403,7.97,1,4.75,1
1641219142178666294,8,1,4.75,1
1641219142178705537,7.96,1,4.75,1
1641219204280408819,8,1,4.75,1
1641219204280450807,7.95,1,4.75,1
1641219266381900396,8,1,4.75,1
1641219266381937757,7.94,1,4.75,1
1641219328483354575,8,1,4.75,1
1641219328483392215,7.93,1,4.75,1
1641219357529975507,7.92,1,4.75,1
1641219368800473657,7.93,1,4.75,1
1641219390584651430,8,1,4.75,1
1641219390584691374,7.92,1,4.75,1
1641219452685959436,8,1,4.75,1
1641219452685998872,7.91,1,4.75,1
1641219514787400134,8,1,4.75,1
1641219514787438662,7.9,1,4.75,1
1641219514890468028,7.89,1,4.75,1
1641219576888856984,7.88,1,4.75,1
1641219638861954719,7.88,1,4.77,1
1641219638990093297,8,1,4.77,1
1641219638990131633,7.87,1,4.77,1
1641219701091466261,8,1,4.77,1
1641219701091504866,7.86,1,4.77,1
1641219763192788039,8,1,4.77,1
1641219763192832345,7.85,1,4.77,1
1641219763294444363,7.84,1,4.77,1
1641219825294254007,7.83,1,4.77,1
1641219887395561262,8,1,4.77,1
1641219887395599547,7.82,1,4.77,1
1641219887505903035,7.81,1,4.77,1
1641219949496933787,7.8,1,4.77,1
1641219996315364380,8,1,4.77,1
1641220201311425751,5.61,2,5.13,43
1641220201970664767,5.61,2,5.16,1
1641220201976205344,5.61,2,5.13,43
1641220202534507034,5.61,1,5.13,43
1641220202535199265,5.59,2,5.13,43
1641220202548614919,5.62,1,5.13,43
1641220211448650073,5.58,2,5.13,43
1641220212190451341,5.62,1,5.13,43
1641220213997889079,5.55,2,5.13,43
1641220214004883983,5.55,1,5.13,43
1641220438505068172,5.54,3,5.21,2
1641220438505862721,5.54,3,5.13,44
1641220438535976023,5.54,3,5.14,1
1641220438797307592,5.54,3,5.13,43
1641220486594059580,5.54,3,5.14,1
1641220486603882293,5.53,2,5.14,1
1641220486609339124,5.53,3,5.14,1
1641220495742398505,5.52,1,5.14,1
1641220495747792847,5.52,2,5.14,1
1641220541176943228,5.4,1,5.14,1
1641220541177022366,5.4,18,5.14,1
1641220543151400413,5.39,1,5.14,1
1641220662005533498,5.38,2,5.14,1
1641220664658867745,5.37,1,5.14,1
1641220821343208336,5.37,2,5.14,1
1641221472595139277,5.2,10,5.14,1
1641221476019858886,5.19,1,5.14,1
1641222033316635543,5.2,10,5.14,1
1641222033316726515,5.19,1,5.14,1
1641222077608187221,5.2,10,5.14,1
1641222390024686678,5.19,1,5.14,1
1641223158594942895,5.24,1,5.17,10
1641223158594963941,5.24,1,5.18,1
1641223158594966289,5.24,1,5.18,3
1641223158595288169,5.26,2,5.18,3
1641223158595319872,5.28,1,5.18,3
1641223158595400420,5.26,1,5.18,3
1641223158595431092,5.28,1,5.18,3
1641223158595654160,5.28,1,5.18,1
1641223158596598110,5.28,3,5.18,1
1641223158596924134,5.28,3,5.17,10
1641223571030520809,5.25,1,5.2,1
1641223571030890735,5.25,1,5.2,1
1641223571037713238,5.3,1,5.2,1
1641223571038003863,5.32,3,5.2,1
1641223571038044332,5.32,2,5.2,1
1641223571038052533,5.32,1,5.2,1
1641223571038377590,5.32,2,5.2,1
1641223571338281955,5.37,1,5.2,1
1641223571338861342,5.37,2,5.2,1
1641223571338881053,5.37,4,5.2,1
1641223571338901087,5.37,6,5.2,1
1641223571386386103,5.37,6,5.2,1
1641223571638892998,5.37,1,5.2,1
1641223571658156689,5.36,1,5.2,1
1641223571658730456,5.36,3,5.2,1
1641223571958754468,5.36,1,5.2,1
1641223573078225932,5.35,1,5.2,1
1641223592490548553,5.35,1,5.2,1
1641226060569287294,5.35,2,5.3,8
1641226060569290460,5.35,1,5.3,8
1641226060569442440,5.35,1,5.3,7
1641226060569608630,5.35,1,5.2,1
1641226122628215037,5.33,1,5.2,1
1641226148295448442,5.33,1,5.2,1
1641227941229585208,5.34,1,5.25,1
1641227944601255598,5.33,1,5.25,1
1641227944612532348,5.33,1,5.25,1
1641228850419375980,5.34,1,5.25,1
1641228853442843893,5.33,1,5.25,1
1641228856887248829,5.33,1,5.25,1
1641228996777673761,5.33,1,5.21,1
1641228996778013055,5.33,1,5.21,1
1641236545629451381,5.33,1,5.17,1
1641236545629471730,5.25,2,5.17,1
1641236545629693238,5.25,2,5.15,2
1641236545629702757,5.25,2,5.15,1
1641236545629717013,5.25,2,5.14,1
1641236545629725634,5.25,2,5.13,29
1641236545630143032,5.25,1,5.13,29
1641236545649576080,5.25,1,5.13,28
1641236545930201647,5.25,1,5.13,26
1641237456278857131,5.24,1,5.13,26
1641238364578173188,5.23,1,5.13,25
1641239267997407583,5.22,1,5.13,25
1641239929657081752,5.21,1,5.09,1
1641239929657106048,5.16,2,5.09,1
1641239929657419470,5.16,2,5.05,1
1641239929657758130,5.16,1,5.05,1
1641239929657892776,5.16,1,5.05,3
1641239929681319808,5.16,1,5.05,2
1641239931657945646,5.16,1,5.05,1
1641239931668582108,5.16,1,5.01,1
1641239931668720169,5.16,1,4.97,5
1641239931668825300,5.16,1,5.01,2
1641239931668866976,5.16,1,5.01,3
1641239931668914413,5.16,1,5.01,5
1641239931669619672,5.16,1,5.05,1
1641239931669922440,5.16,1,5.01,5
1641239931768913438,5.16,1,5.01,4
1641239933668953867,5.15,1,5,1
1641239961005176584,5.15,1,4.97,5
1641239989624572408,5.15,1,4.97,5
1641240032215057490,5.15,1,4.97,5
1641240077224709391,5.15,1,4.97,5
1641240851452850813,5.14,1,4.97,5
1641241013385554787,5.14,1,4.97,5
1641241094986809346,5.14,2,4.97,5
1641241226009227419,5.14,1,4.97,5
1641241764850386839,5.13,1,4.97,5
1641242544683582456,5.13,1,4.97,5
1641242544686343931,5.13,1,4.97,10
1641242998538760099,5.12,1,4.97,7
1641243591650553421,5.11,3,5,1
1641243591655570328,5.11,3,4.97,9
1641243600595536801,5.44,1,4.74,7
1641243600601874593,5.44,1,4.71,1
1641243600602750842,5.44,1,4.74,7
1641243600606056245,5.44,1,4.74,7
1641243601051861224,5.64,1,4.74,7
1641243601052633038,5.64,1,4.74,7
1641243601052639102,5.85,1,4.74,7
1641243601067002624,6.16,1,4.74,7
1641243601067466820,6.3,1,4.74,7
1641243601102276440,6.64,1,4.74,7
1641243601102816997,6.79,1,4.74,7
1641243601111129382,7.32,1,4.74,7
1641243601195446574,7.71,1,4.74,7
1641243601195970690,7.89,1,4.74,7
1641243601207645550,8,1,4.74,7
1641243725396699167,8,1,4.75,1
1641243734451652377,8,1,4.75,1
1641243743802378913,8,1,4.75,1
1641244725341982589,6.5,1,4.75,1
1641244725534410149,6.49,1,4.74,7
1641246541911271315,6.49,1,4.74,7
1641250741246944865,6.5,1,4.75,1
1641250741375379288,6.5,1,4.74,7
1641250741485953605,6.5,1,4.76,1
1641250801341878890,8,1,4.76,1
1641257941234099753,8.1,1,4.76,1
1641257941344442109,8.1,1,4.74,7
1641286800039610091,12,2,0,0
1641286800039610233,8,1,0,0
1641286800061730470,8,1,4.08,1
1641305355993398494,7.95,1,4.75,1
1641305356174817307,7.94,1,4.74,7
1641305418094215579,7.94,1,4.74,7
1641305418095024270,7.95,1,4.76,1
1641305480195460362,7.93,1,4.74,7
1641305480196273600,7.95,1,4.76,1
1641305542297536907,7.95,1,4.76,1
1641305604398944281,7.95,1,4.76,1
1641305666500330128,7.95,1,4.76,1
1641305666532873414,7.89,1,4.74,7
1641305666788517434,7.89,1,4.74,7
1641305728601701761,7.95,1,4.75,1
1641305728638654485,7.88,1,4.74,7
1641305790703167279,7.95,1,4.76,1
1641305790740063568,7.87,1,4.74,7
1641305852804450558,7.95,1,4.76,1
1641305977205572369,7.84,1,4.74,7
1641305977457700360,7.84,1,4.74,7
1641306039108620783,7.95,1,4.75,1
1641306039308618281,7.83,1,4.74,7
1641306101409934724,7.81,1,4.74,7
1641306163311689759,7.95,1,4.76,1
1641306225412989390,7.95,1,4.76,1
1641306287514583456,7.95,1,4.76,1
1641306287717497554,7.78,1,4.74,7
1641306287973623964,7.77,1,4.74,7
1641306349822107118,7.76,1,4.74,7
1641306397413723766,7.76,1,4.74,7
1641306397414182711,7.95,2,4.74,7
1641307563235657013,5.14,1,5.01,35
1641307563245083457,5.13,1,5.01,35
1641307565211582413,5.12,1,5.01,35
1641307886649480346,5.12,2,5.01,35
1641308318056979971,5.12,3,5.01,35
1641308400042778193,5.12,2,5.01,35
1641308400351014290,5.12,3,5.01,35
1641308468909048785,5.12,2,5.01,35
1641309372564978110,5.12,2,5.01,35
1641309373661328326,5.11,1,5.01,35
1641310276460169408,5.12,2,5.01,35
1641310276460207302,5.12,1,5.01,35
1641311194928592039,5.12,1,5.01,35
1641311196740424587,5.11,1,5.01,35
1641312099559787506,5.12,1,5.01,35
1641312107095482699,5.11,1,5.01,35
1641312153636870721,5.08,1,5.01,35
1641312153637510375,5.08,1,5.01,34
1641312153637562483,5.08,1,5.01,33
1641312153637785258,5.08,1,5.01,31
1641312153637861545,5.08,1,5.01,30
1641312153639058042,5.11,1,5.01,30
1641313007332717511,5.12,1,5.01,30
1641313009424799864,5.11,1,5.01,30
1641313913096253648,5.12,1,5.01,30
1641313917800668451,5.11,1,5.01,30
1641314818515390985,5.12,1,5.01,30
1641314829860742814,5.11,1,5.01,30
1641315731999407532,5.12,1,5.01,30
1641315733918989322,5.11,1,5.01,30
1641316637240517104,5.12,1,5.01,30
1641316647531374843,5.11,1,5.01,30
1641317551358641996,5.12,1,5.01,30
1641317556753746697,5.11,1,5.01,30
1641318461094821784,5.12,1,5.01,30
1641319370097365443,5.11,1,5.01,30
1641319370097473064,5.12,1,5.01,30
1641319372121515653,5.11,1,5.01,30
1641320276625125930,5.12,1,5.01,30
1641320277697427414,5.11,1,5.01,30
1641321179834664986,5.12,1,5.01,30
1641321181902758287,5.11,1,5.01,30
1641322084119901794,5.12,1,5.01,30
1641322085627491725,5.11,1,5.01,30
1641322987351992743,5.12,1,5.01,30
1641322989371587487,5.11,1,5.01,30
1641323890720681070,5.12,1,5.01,30
1641323903604501374,5.11,1,5.01,30
1641324808893097171,5.12,1,5.01,30
1641324812411718680,5.11,1,5.01,30
1641325694189182648,5.1,1,5.01,30
1641325696764301561,5.09,1,5.01,30
1641325893499431045,5.06,1,5.01,30
1641326916389869777,5.06,1,5.01,29
1641326946923869848,5.06,1,5.01,28
1641326977456117786,5.06,1,5.01,27
1641327007991124649,5.06,1,5.01,26
1641327038544315939,5.06,1,5.01,25
1641327069076563387,5.06,1,5.01,24
1641327099610547825,5.06,1,5.01,23
1641327099610603608,5.06,1,5.01,3
1641327099610694200,5.06,1,5.01,2
1641327099611041423,5.06,1,4.97,1
1641327099611084147,5.06,1,4.93,1
1641327099611215832,5.06,1,4.96,1
1641327099613174379,5.06,1,4.93,7
1641327099613190742,5.06,1,4.97,1
1641327099642367369,5.06,1,4.97,1
1641327101611679029,5.06,1,4.97,1
1641327191211029197,5.06,1,4.93,1
1641327191211169483,5.06,1,4.9,3
1641327191211288742,5.06,1,4.93,2
1641327191212442935,5.06,1,4.96,1
1641327252279629588,5.06,1,4.92,1
1641327252279733293,5.06,1,4.91,2
1641327252279746368,5.06,1,4.9,1
1641327252279890298,5.06,1,4.92,2
1641327252303488862,5.06,1,4.96,1
1641327282812820217,5.06,1,4.92,1
1641327282812924143,5.06,1,4.91,2
1641327282812938297,5.06,1,4.9,1
1641327282813081541,5.06,1,4.92,2
1641327284813142725,5.06,1,4.9,2
1641327284813175047,5.06,1,4.9,1
1641327289945414664,5.06,1,4.96,1
1641327313372581314,5.06,1,4.92,1
1641327313372707392,5.06,1,4.9,1
1641327313372985896,5.06,1,4.9,2
1641327313373018391,5.06,1,4.9,4
1641327313373034096,5.06,1,4.9,5
1641327313390575973,5.06,1,4.96,1
1641327313686252823,5.06,1,4.9,4
1641327315373054441,5.06,1,4.9,2
1641327315373087898,5.06,1,4.9,1
1641327341881521659,5.06,1,4.96,1
1641327343927672909,5.06,1,4.92,1
1641327343927774467,5.06,1,4.91,2
1641327343927816709,5.06,1,4.9,1
1641327343927922009,5.06,1,4.92,2
1641327345927994947,5.06,1,4.9,1
1641327590758758973,5.06,1,4.89,1
1641327649326248816,5.06,2,4.89,1
1641327703655328089,5.06,1,4.89,1
1641327707074938752,5.05,1,4.89,1
1641327740926661327,5.05,1,4.88,2
1641327832525924057,5.05,2,4.86,1
1641327893594527595,4.94,1,4.86,1
1641327893594866768,4.94,1,4.83,1
1641327893595033874,5.05,1,4.83,1
1641327893595076639,5.05,2,4.83,1
1641327924135920312,5.05,2,4.84,4
1641327924747507305,5.05,2,4.84,4
1641328229468590524,5.05,2,4.83,1
1641328229468614871,4.92,1,4.83,1
1641328229469634512,5.05,1,4.83,1
1641328229469676628,5.05,2,4.83,1
1641328260003120398,5.05,2,4.8,1
1641328260017884948,5.05,2,4.84,4
1641328260615570134,5.05,2,4.84,4
1641328382154621572,5.05,2,4.8,1
1641328382154648533,4.92,1,4.8,1
1641328382155661326,5.05,1,4.8,1
1641328382259360139,5.05,2,4.8,1
1641328412696603617,5.05,2,4.81,4
1641328413316071662,5.05,1,4.81,4
1641328595950247169,5.05,4,4.81,1
1641328626468781973,5.04,2,4.8,1
1641328657000794356,4.91,1,4.8,1
1641328657000887946,4.91,1,4.77,1
1641328657001868034,5.04,1,4.77,1
1641328657002839895,5.04,2,4.77,1
1641328687556954562,5.04,2,4.78,5
1641328687692027637,5.04,1,4.78,5
1641328863673884074,5.04,1,4.8,2
1641328901287986304,5.04,4,4.8,2
1641328923642296602,5.04,4,4.78,5
1641328923643668464,5.04,4,4.84,1
1641328923784862595,5.04,4,4.84,1
1641328923784886006,4.92,1,4.84,1
1641328923784919715,4.92,1,4.78,5
1641328923785973915,5.04,4,4.78,3
1641329176119966265,5.04,4,4.78,2
1641329206657242075,5.04,4,4.78,1
1641329237250751234,5.04,4,4.77,1
1641329237422238067,5.04,4,4.78,1
1641329237595902626,5.04,4,4.77,1
1641329237862736600,5.04,4,4.78,1
1641329238092392818,5.04,4,4.77,1
1641329238320186870,5.04,4,4.78,1
1641329238542801630,5.04,4,4.77,1
1641329238827583097,5.04,4,4.78,1
1641329239100882680,5.04,4,4.77,1
1641329239363567242,5.04,4,4.78,1
1641329239536149544,5.04,4,4.77,1
1641329239874399333,5.04,4,4.78,1
1641329240042837533,5.04,4,4.77,1
1641329240315453242,5.04,4,4.78,1
1641329240534560786,5.04,4,4.77,1
1641329240822244364,5.04,4,4.78,1
1641329241087762687,5.04,4,4.77,1
1641329241360641744,5.04,4,4.78,1
1641329241548321838,5.04,4,4.77,1
1641329241836116962,5.04,4,4.78,1
1641329242055385501,5.04,4,4.77,1
1641329242399171337,5.04,4,4.78,1
1641329242541655602,5.04,4,4.77,1
1641329242813216595,5.04,4,4.78,1
1641329243048243052,5.04,4,4.77,1
1641329243382116876,5.04,4,4.78,1
1641329243550343132,5.04,4,4.77,1
1641329243873196642,5.04,4,4.78,1
1641329244056292241,5.04,4,4.77,1
1641329244379907023,5.04,4,4.78,1
1641329244543275814,5.04,4,4.77,1
1641329244949587243,5.04,4,4.78,1
1641329245076057846,5.04,4,4.77,1
1641329245422716591,5.04,4,4.78,1
1641329245556917175,5.04,4,4.77,1
1641329246423405816,5.04,4,4.78,1
1641329246606695615,5.04,4,4.77,1
1641329248423508521,5.04,4,4.78,1
1641329248618402662,5.04,4,4.77,1
1641329251429672129,5.04,4,4.78,1
1641329251666659060,5.04,4,4.77,1
1641329297423068736,5.04,4,4.78,1
1641329297684607696,5.04,4,4.77,1
1641329298003954037,5.04,4,4.78,1
1641329298166316738,5.04,4,4.77,1
1641329298548269745,5.04,4,4.78,1
1641329298734633461,5.04,4,4.77,1
1641329298945339528,5.04,4,4.78,1
1641329299169251437,5.04,4,4.77,1
1641329299447488659,5.04,4,4.78,1
1641329299743380134,5.04,4,4.77,1
1641329300026724447,5.04,4,4.78,1
1641329300239432512,5.04,4,4.77,1
1641329300471165974,5.04,4,4.78,1
1641329300731209571,5.04,4,4.77,1
1641329301063225730,5.04,4,4.78,1
1641329301186996207,5.04,4,4.77,1
1641329301454717496,5.04,4,4.78,1
1641329301724131509,5.04,4,4.77,1
1641329302018345930,5.04,4,4.78,1
1641329302241547145,5.04,4,4.77,1
1641329302457953537,5.04,4,4.78,1
1641329302686592323,5.04,4,4.77,1
1641329302998906942,5.04,4,4.78,1
1641329303178854494,5.04,4,4.77,1
1641329303501235329,5.04,4,4.78,1
1641329303747265127,5.04,4,4.77,1
1641329304049774450,5.04,4,4.78,1
1641329304191994185,5.04,4,4.77,1
1641329304469583071,5.04,4,4.78,1
1641329304750352316,5.04,4,4.77,1
1641329305001648184,5.04,4,4.78,1
1641329305185277622,5.04,4,4.77,1
1641329305520212954,5.04,4,4.78,1
1641329305748714001,5.04,4,4.77,1
1641329306424522396,5.04,4,4.78,1
1641329306696233624,5.04,4,4.77,1
1641329308424237588,5.04,4,4.78,1
1641329308759867441,5.04,4,4.77,1
1641329311424382069,5.04,4,4.78,1
1641329311519432578,5.04,4,4.77,1
1641329331375515574,5.04,4,4.79,2
1641329331375908394,5.04,4,4.79,6
1641329522755111298,5.04,4,4.85,1
1641329522768214383,5.04,3,4.85,1
1641329528684541334,5.04,1,4.85,1
1641329543431867297,5.02,2,4.81,1
1641329543431890724,4.91,2,4.81,1
1641329543432255973,4.91,2,4.79,6
1641329543432604345,4.91,2,4.79,2
1641329543432977277,5.02,1,4.79,8
1641329543440478917,5.02,1,4.8,4
1641329955126481184,5,1,4.77,1
1641329955132699620,5,1,4.78,4
1641329963414245491,5,1,4.78,3
1641329977791576828,5,1,4.78,2
1641329983581553788,5,1,4.77,1
1641329991650760567,5,2,4.75,3
1641329997162111317,5,1,4.75,3
1641329998808245104,5,1,4.76,4
1641330000680370952,4.97,4,4.74,7
1641330000686886657,4.99,12,4.74,7
1641330000698133754,5,1,4.74,7
1641330000709052815,5.15,10,4.74,7
1641330000720568930,5.17,1,4.74,7
1641330000733019660,5.24,3,4.74,7
1641330000746193111,5.24,2,4.74,7
1641330000746193229,5.24,1,4.74,7
1641330000746197137,5.3,2,4.74,7
1641330000760103588,5.3,1,4.74,7
1641330000760105377,5.4,1,4.74,7
1641330000760866976,5.4,1,4.74,7
1641330000760874294,5.58,1,4.74,7
1641330000760938725,5.58,1,4.74,7
1641330000761234810,5.6,3,4.74,7
1641330000774631666,5.6,2,4.74,7
1641330000789936128,5.62,1,4.74,7
1641330000805916138,5.85,1,4.74,7
1641330000806670134,5.85,1,4.74,7
1641330000806678758,6.03,1,4.74,7
1641330000837345954,6.1,1,4.74,7
1641330005060989271,5.12,1,4.74,7
1641330375385399915,5.12,1,4.74,7
1641330955789041160,5.12,1,4.74,7
1641330955923328431,5.12,1,4.74,7
1641331507244303594,5.12,1,4.74,7
1641331507369684860,5.12,1,4.74,7
1641332059297675901,5.12,1,4.74,7
1641332059435960731,5.12,1,4.74,7
1641332610843182112,5.12,1,4.74,7
1641332611010413113,5.12,1,4.74,7
1641333165375761612,5.12,1,4.74,7
1641333165516862258,5.12,1,4.74,7
1641333719439568192,5.12,1,4.74,7
1641333719491415759,5.12,1,4.74,7
1641334269909573680,5.12,1,4.74,7
1641334270121286386,5.12,1,4.74,7
1641334818768181823,5.12,1,4.74,7
1641334818932774714,5.12,1,4.74,7
1641335365741808515,5.12,1,4.74,7
1641335365894028405,5.12,1,4.74,7
1641335913096837869,5.12,1,4.74,7
1641335913200455674,5.12,1,4.74,7
1641336461262060194,5.12,1,4.74,7
1641336461414169217,5.12,1,4.74,7
1641337014374895906,5.12,1,4.74,7
1641344341745696882,5.12,1,4.74,7
1641373200040653210,8,1,0,0
1641373200062982262,8,1,4.08,1
1641384000048885944,8,1,4.62,5
1641384482174116639,8,1,4.75,1
1641390659538550797,7.93,1,4.75,1
1641392701496402780,7.93,2,4.75,1
1641392880474245523,7.93,2,4.74,7
1641393003992190971,5,1,4.8,4
1641393012645621477,4.99,1,4.8,4
1641393913388222219,5,1,4.8,4
1641393913394436231,4.99,2,4.8,4
1641393913401640500,4.99,3,4.8,4
1641393913403490017,4.99,2,4.8,4
1641393913409333605,4.99,3,4.8,4
1641393919096448057,4.98,1,4.8,4
1641393919102060016,4.98,2,4.8,4
1641394800043451692,4.98,2,4.8,4
1641394829558566340,4.97,1,4.8,4
1641395542094210711,4.97,2,4.8,4
1641395734999784230,4.96,1,4.8,4
1641396639229804045,4.97,2,4.8,4
1641396643523674095,4.96,1,4.8,4
1641397546011238061,4.97,2,4.8,4
1641397547778929676,4.96,1,4.8,4
1641398452954877282,4.97,2,4.8,4
1641398460437516166,4.96,1,4.8,4
1641399361222072786,5,1,4.8,4
1641399361232415645,4.99,2,4.8,4
1641399366336147686,4.98,1,4.8,4
1641400268064741844,4.99,2,4.8,4
